L,a,l,Outcome
"33,1",Mytilus trossulus,14.5,not_eaten
"24,8",Mytilus edulis,11.7,not_eaten
33,Mytilus edulis,14.4,not_eaten
"18,8",Mytilus edulis,6.9,not_eaten
34,Mytilus edulis,16.9,not_eaten
"22,6",Mytilus edulis,7.7,not_eaten
"34,5",Mytilus edulis,13.7,not_eaten
"17,8",Mytilus edulis,8.7,not_eaten
"29,9",Mytilus trossulus,12.7,not_eaten
"21,4",Mytilus trossulus,8.7,not_eaten
"34,5",Mytilus trossulus,14.6,not_eaten
"28,4",Mytilus trossulus,11.9,not_eaten
"19,9",Mytilus trossulus,9,not_eaten
"33,4",Mytilus edulis,15,not_eaten
"21,9",Mytilus trossulus,8.7,not_eaten
27,Mytilus edulis,11.6,not_eaten
"30,3",Mytilus trossulus,10.7,not_eaten
"22,2",Mytilus edulis,11.1,not_eaten
"18,4",Mytilus trossulus,7.7,not_eaten
34,Mytilus edulis,13.5,not_eaten
"25,1",Mytilus edulis,11.6,not_eaten
"27,8",Mytilus edulis,13.5,not_eaten
31,Mytilus edulis,14.1,not_eaten
"27,6",Mytilus edulis,11.6,not_eaten
"29,9",Mytilus trossulus,12.4,not_eaten
"30,4",Mytilus trossulus,14,not_eaten
"23,8",Mytilus edulis,14.2,not_eaten
"20,2",Mytilus edulis,9.7,not_eaten
"20,1",Mytilus edulis,8.7,not_eaten
"28,4",Mytilus edulis,13.3,not_eaten
30,Mytilus edulis,13,not_eaten
"32,9",Mytilus edulis,16,not_eaten
"33,3",Mytilus trossulus,15.4,not_eaten
31,Mytilus edulis,14.1,not_eaten
"18,2",Mytilus edulis,7.1,not_eaten
"21,6",Mytilus edulis,10.5,not_eaten
"21,1",Mytilus edulis,8.8,not_eaten
"21,3",Mytilus edulis,10.3,not_eaten
"25,4",Mytilus edulis,10.8,not_eaten
"29,7",Mytilus edulis,13.6,not_eaten
"24,1",Mytilus edulis,10.6,not_eaten
20,Mytilus edulis,8.4,not_eaten
"31,4",Mytilus edulis,13.6,not_eaten
"27,8",Mytilus trossulus,11.2,not_eaten
25,Mytilus edulis,10.7,not_eaten
"22,8",Mytilus edulis,9.8,not_eaten
"29,5",Mytilus edulis,13,not_eaten
"28,8",Mytilus trossulus,10.7,not_eaten
"25,9",Mytilus edulis,11.5,not_eaten
"30,9",Mytilus edulis,15.4,not_eaten
"17,7",Mytilus trossulus,7.9,not_eaten
31,Mytilus edulis,13.9,not_eaten
"19,2",Mytilus trossulus,8.5,not_eaten
"23,7",Mytilus edulis,11.7,not_eaten
"33,8",Mytilus trossulus,13.4,not_eaten
"21,9",Mytilus edulis,9.6,not_eaten
"25,5",Mytilus edulis,11.3,not_eaten
"31,5",Mytilus trossulus,14.8,not_eaten
19.6,Mytilus edulis,9.2,eaten
18.6,Mytilus trossulus,8,eaten
20.4,Mytilus edulis,9.1,eaten
34.2,Mytilus trossulus,14.5,eaten
20.1,Mytilus trossulus,7.9,eaten
29.6,Mytilus trossulus,13.5,eaten
21.5,Mytilus trossulus,11,eaten
21.4,Mytilus trossulus,11,eaten
"37,6",Mytilus edulis,14,not_eaten
"38,4",Mytilus edulis,14.9,not_eaten
"39,1",Mytilus trossulus,14.8,not_eaten
"22,7",Mytilus trossulus,7,not_eaten
"36,6",Mytilus trossulus,16.6,not_eaten
"37,5",Mytilus edulis,18.5,not_eaten
"20,2",Mytilus trossulus,8.9,not_eaten
"33,3",Mytilus edulis,14.4,not_eaten
"23,7",Mytilus trossulus,8,not_eaten
"27,3",Mytilus trossulus,12.2,not_eaten
"24,3",Mytilus edulis,11.2,not_eaten
